
> frontend@0.9.83 dev:frontend
> next dev

▲ Next.js 16.2.7 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.7:3000
✓ Ready in 1377ms
○ Compiling proxy ...

○ Compiling / ...
 GET /api/ai/agent-actions 403 in 47ms (next.js: 26ms, application-code: 21ms)
 GET /api/ai/agent-actions 403 in 31ms (next.js: 9ms, application-code: 22ms)
 GET /api/settings/wormhole 200 in 27ms (next.js: 5ms, application-code: 22ms)
 GET /api/wormhole/status 200 in 372ms (next.js: 12ms, application-code: 360ms)
 GET /api/ai/agent-actions 403 in 24ms (next.js: 6ms, application-code: 18ms)
 GET /api/ai/agent-actions 403 in 78ms (next.js: 25ms, application-code: 53ms)
 GET /api/live-data/fast 200 in 287ms (next.js: 7ms, application-code: 280ms)
 GET /api/ai/agent-actions 403 in 67ms (next.js: 7ms, application-code: 60ms)
 GET /api/ai/agent-actions 403 in 79ms (next.js: 5ms, application-code: 74ms)
 GET /api/mesh/infonet/status 200 in 659ms (next.js: 36ms, application-code: 622ms)
 GET /api/health 200 in 665ms (next.js: 46ms, application-code: 619ms)
 GET /api/ai/agent-actions 403 in 463ms (next.js: 7ms, application-code: 456ms)
 GET /api/ai/agent-actions 403 in 40ms (next.js: 5ms, application-code: 35ms)
 GET /api/ai/agent-actions 403 in 22ms (next.js: 3ms, application-code: 19ms)
 GET /api/ai/agent-actions 403 in 48ms (next.js: 23ms, application-code: 25ms)
 GET /api/ai/agent-actions 403 in 19ms (next.js: 4ms, application-code: 16ms)
 GET /api/ai/agent-actions 403 in 28ms (next.js: 7ms, application-code: 22ms)
 GET /api/ai/agent-actions 403 in 87ms (next.js: 60ms, application-code: 27ms)
 GET /api/ai/pins/geojson 403 in 74ms (next.js: 50ms, application-code: 24ms)
 GET /api/ai/agent-actions 403 in 29ms (next.js: 6ms, application-code: 23ms)
 GET /api/ai/layers 403 in 32ms (next.js: 6ms, application-code: 27ms)
 GET /api/ai/pins?limit=500 403 in 39ms (next.js: 20ms, application-code: 19ms)
 GET /api/ai/agent-actions 403 in 25ms (next.js: 5ms, application-code: 20ms)
 GET /api/ai/agent-actions 403 in 44ms (next.js: 23ms, application-code: 21ms)
 GET /api/ai/agent-actions 403 in 30ms (next.js: 7ms, application-code: 23ms)
 GET /api/ai/agent-actions 403 in 27ms (next.js: 8ms, application-code: 19ms)
 GET /api/ai/agent-actions 403 in 52ms (next.js: 30ms, application-code: 22ms)
 GET /api/ai/agent-actions 403 in 28ms (next.js: 5ms, application-code: 23ms)
 GET /api/ai/agent-actions 403 in 46ms (next.js: 19ms, application-code: 27ms)
 GET /api/ai/agent-actions 403 in 28ms (next.js: 6ms, application-code: 22ms)
 GET /api/ai/agent-actions 403 in 45ms (next.js: 21ms, application-code: 24ms)
 GET /api/ai/agent-actions 403 in 31ms (next.js: 4ms, application-code: 27ms)
 GET /api/geocode/reverse?lat=69.66694273216214&lng=-139.74609375000006&local_only=1 200 in 1659ms (next.js: 6ms, application-code: 1653ms)
 GET /api/geocode/reverse?lat=-30.877888118431343&lng=140.44921874999875&local_only=1 200 in 1283ms (next.js: 25ms, application-code: 1258ms)
 GET /api/settings/wormhole 200 in 9.9s (next.js: 8ms, application-code: 9.9s)
 GET /api/live-data/fast?lv=ships%3A42%2Ccommercial_flights%3A114%2Cmilitary_flights%3A42%2Cprivate_flights%3A114%2Cprivate_jets%3A114%2Cuavs%3A42%2Csatellites%3A42%2Csigint%3A44%2Ctrains%3A42 304 in 8.5s (next.js: 27ms, application-code: 8.5s)
 GET /api/ai/pins/geojson 403 in 3.1s (next.js: 7ms, application-code: 3.1s)
 GET /api/mesh/infonet/status 200 in 7.4s (next.js: 5ms, application-code: 7.4s)
 GET /api/wormhole/status 200 in 10.0s (next.js: 9ms, application-code: 9.9s)
 GET /api/ai/agent-actions 403 in 9.7s (next.js: 8ms, application-code: 9.7s)
 GET /api/ai/agent-actions 403 in 38ms (next.js: 19ms, application-code: 18ms)
 GET /api/ai/agent-actions 403 in 29ms (next.js: 8ms, application-code: 21ms)
 GET /api/ai/agent-actions 403 in 27ms (next.js: 5ms, application-code: 23ms)
 GET /api/ai/agent-actions 403 in 22ms (next.js: 3ms, application-code: 19ms)
 GET /api/ai/agent-actions 403 in 21ms (next.js: 3ms, application-code: 17ms)
 GET /api/ai/agent-actions 403 in 24ms (next.js: 3ms, application-code: 21ms)
 GET /api/ai/agent-actions 403 in 25ms (next.js: 5ms, application-code: 19ms)
 GET /api/ai/agent-actions 403 in 30ms (next.js: 4ms, application-code: 26ms)
 GET /api/ai/agent-actions 403 in 28ms (next.js: 6ms, application-code: 22ms)
 GET /api/ai/agent-actions 403 in 24ms (next.js: 4ms, application-code: 20ms)
 GET /api/ai/agent-actions 403 in 26ms (next.js: 6ms, application-code: 20ms)
 GET /api/ai/agent-actions 403 in 33ms (next.js: 8ms, application-code: 25ms)
 GET /api/ai/agent-actions 403 in 31ms (next.js: 5ms, application-code: 25ms)
 GET /api/ai/agent-actions 403 in 28ms (next.js: 3ms, application-code: 25ms)
 GET /api/ai/agent-actions 403 in 22ms (next.js: 4ms, application-code: 18ms)
 GET /api/ai/agent-actions 403 in 24ms (next.js: 5ms, application-code: 20ms)
 GET /api/ai/agent-actions 403 in 48ms (next.js: 27ms, application-code: 21ms)
 GET /api/ai/agent-actions 403 in 23ms (next.js: 8ms, application-code: 16ms)
