
> frontend@0.9.83 dev:frontend
> next dev

▲ Next.js 16.2.7 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.7:3000
✓ Ready in 3.4s

○ Compiling / ...
 GET /api/settings/wormhole 200 in 25ms (next.js: 12ms, application-code: 13ms)
 GET /api/wormhole/status 200 in 158ms (next.js: 16ms, application-code: 142ms)
 GET /api/ai/agent-actions 200 in 25ms (next.js: 12ms, application-code: 14ms)
 GET /api/ai/agent-actions 200 in 26ms (next.js: 12ms, application-code: 14ms)
 GET /api/ai/pins/geojson 200 in 32ms (next.js: 15ms, application-code: 17ms)
 GET /api/ai/agent-actions 200 in 18ms (next.js: 4ms, application-code: 14ms)
 GET /api/ai/agent-actions 200 in 30ms (next.js: 13ms, application-code: 16ms)
 GET /api/mesh/infonet/status 200 in 254ms (next.js: 13ms, application-code: 241ms)
 GET /api/health 200 in 240ms (next.js: 2ms, application-code: 238ms)
 GET /api/ai/agent-actions 200 in 28ms (next.js: 14ms, application-code: 14ms)
 GET /api/ai/agent-actions 200 in 41ms (next.js: 18ms, application-code: 23ms)
 GET /api/health 200 in 56ms (next.js: 26ms, application-code: 30ms)
 GET /api/ai/layers 200 in 43ms (next.js: 9ms, application-code: 34ms)
 GET /api/settings/wormhole 200 in 49ms (next.js: 16ms, application-code: 33ms)
 GET /api/ai/pins?limit=500 200 in 88ms (next.js: 20ms, application-code: 68ms)
 GET /api/settings/timemachine 200 in 92ms (next.js: 28ms, application-code: 64ms)
 GET /api/ai/timemachine/config 200 in 65ms (next.js: 22ms, application-code: 44ms)
 GET /api/wormhole/status 200 in 258ms (next.js: 6ms, application-code: 252ms)
 GET /api/ai/agent-actions 200 in 7.3s (next.js: 13ms, application-code: 7.3s)
 GET /api/mesh/infonet/status 200 in 333ms (next.js: 13ms, application-code: 320ms)
 GET /api/ai/pins/geojson 200 in 5.3s (next.js: 13ms, application-code: 5.3s)
 GET /api/ai/agent-actions 200 in 18ms (next.js: 3ms, application-code: 15ms)
 GET /api/ai/agent-actions 200 in 18ms (next.js: 3ms, application-code: 16ms)
 GET /api/ai/agent-actions 200 in 30ms (next.js: 13ms, application-code: 17ms)
 GET /api/ai/agent-actions 200 in 30ms (next.js: 17ms, application-code: 13ms)
 GET /api/settings/wormhole 200 in 31ms (next.js: 15ms, application-code: 16ms)
 GET /api/wormhole/status 200 in 191ms (next.js: 3ms, application-code: 189ms)
 GET /api/ai/agent-actions 200 in 30ms (next.js: 15ms, application-code: 15ms)
 GET /api/ai/pins/geojson 200 in 27ms (next.js: 13ms, application-code: 15ms)
 GET /api/ai/agent-actions 200 in 28ms (next.js: 15ms, application-code: 13ms)
 GET /api/ai/agent-actions 200 in 33ms (next.js: 15ms, application-code: 18ms)
 GET /api/mesh/infonet/status 200 in 242ms (next.js: 12ms, application-code: 230ms)
 GET /api/health 200 in 229ms (next.js: 3ms, application-code: 227ms)
 GET /api/ai/agent-actions 200 in 23ms (next.js: 12ms, application-code: 11ms)
 GET /api/ai/agent-actions 200 in 34ms (next.js: 15ms, application-code: 20ms)
 GET /api/ai/layers 200 in 50ms (next.js: 24ms, application-code: 27ms)
 GET /api/ai/pins?limit=500 200 in 19ms (next.js: 4ms, application-code: 15ms)
 GET /api/ai/agent-actions 200 in 7.1s (next.js: 13ms, application-code: 7.1s)
 GET /api/ai/pins/geojson 200 in 5.1s (next.js: 12ms, application-code: 5.1s)
 GET /api/settings/wormhole 200 in 6.2s (next.js: 14ms, application-code: 6.2s)
 GET /api/wormhole/status 200 in 6.2s (next.js: 19ms, application-code: 6.2s)
 GET /api/ai/agent-actions 200 in 37ms (next.js: 15ms, application-code: 22ms)
 GET /api/mesh/infonet/status 200 in 246ms (next.js: 3ms, application-code: 243ms)
 GET /api/ai/pins/geojson 200 in 34ms (next.js: 15ms, application-code: 19ms)
 GET /api/health 200 in 27ms (next.js: 12ms, application-code: 15ms)
 GET /api/settings/wormhole 200 in 29ms (next.js: 12ms, application-code: 16ms)
 GET /api/wormhole/status 200 in 159ms (next.js: 3ms, application-code: 156ms)
 GET /api/health 200 in 38ms (next.js: 15ms, application-code: 23ms)
 GET /api/ai/layers 200 in 52ms (next.js: 21ms, application-code: 31ms)
 GET /api/settings/timemachine 200 in 38ms (next.js: 16ms, application-code: 22ms)
 GET /api/ai/pins?limit=500 200 in 66ms (next.js: 27ms, application-code: 40ms)
 GET /api/ai/timemachine/config 200 in 35ms (next.js: 18ms, application-code: 17ms)
 GET /api/settings/wormhole 200 in 7.2s (next.js: 13ms, application-code: 7.2s)
 GET /api/sar/aois 200 in 3.2s (next.js: 14ms, application-code: 3.2s)
 GET /api/wormhole/status 200 in 7.2s (next.js: 19ms, application-code: 7.2s)
 GET /api/health 200 in 29ms (next.js: 14ms, application-code: 15ms)
 GET /api/ai/layers 200 in 30ms (next.js: 13ms, application-code: 17ms)
 GET /api/ai/pins?limit=500 200 in 21ms (next.js: 3ms, application-code: 18ms)
 GET /api/settings/wormhole 200 in 30ms (next.js: 13ms, application-code: 17ms)
 GET /api/wormhole/status 200 in 149ms (next.js: 3ms, application-code: 146ms)
 GET /api/ai/agent-actions 200 in 32ms (next.js: 16ms, application-code: 16ms)
 GET /api/mesh/infonet/status 200 in 235ms (next.js: 21ms, application-code: 214ms)
 GET /api/ai/pins/geojson 200 in 207ms (next.js: 3ms, application-code: 204ms)
 GET /api/live-data/fast?lv=ships%3A8%2Ccommercial_flights%3A10%2Cmilitary_flights%3A8%2Cprivate_flights%3A10%2Cprivate_jets%3A10%2Cuavs%3A8%2Csatellites%3A8%2Csigint%3A9%2Ctrains%3A8 200 in 446ms (next.js: 25ms, application-code: 422ms)
 GET /api/ai/agent-actions 200 in 300ms (next.js: 4ms, application-code: 296ms)
 GET /api/live-data/slow 200 in 772ms (next.js: 7ms, application-code: 765ms)
 POST /api/viewport 200 in 7.3s (next.js: 21ms, application-code: 7.3s)
 GET /api/mesh/infonet/status 200 in 314ms (next.js: 12ms, application-code: 302ms)
 GET /api/ai/pins/geojson 200 in 5.3s (next.js: 13ms, application-code: 5.3s)
 GET /api/health 200 in 304ms (next.js: 5ms, application-code: 300ms)
 GET /api/ai/agent-actions 200 in 7.3s (next.js: 5ms, application-code: 7.3s)
 GET /api/ai/agent-actions 200 in 16ms (next.js: 2ms, application-code: 13ms)
 GET /api/ai/agent-actions 200 in 14ms (next.js: 3ms, application-code: 12ms)
 GET /api/ai/agent-actions 200 in 23ms (next.js: 12ms, application-code: 11ms)
 GET /api/settings/wormhole 200 in 32ms (next.js: 13ms, application-code: 19ms)
 GET /api/wormhole/status 200 in 227ms (next.js: 20ms, application-code: 207ms)
 GET /api/ai/agent-actions 200 in 38ms (next.js: 18ms, application-code: 20ms)
